Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  121     7.984  0.0660  0.0392   0.003   0.205   0.205    121     0    0    0       58827        444        486        511  GET /api/registration/session HTTP/2
  128     7.472  0.0584  0.0405   0.002   0.216   0.216    121     0    7    0         735          2          5         91  POST /api/registration/team HTTP/2
  244     6.035  0.0247  0.0195   0.002   0.116   0.116    242     0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  373     5.257  0.0141  0.0163   0.000   0.140   0.140    372     0    1    0          77          0          0         77  POST /api/signup HTTP/2
 1386     3.336  0.0024  0.0070   0.000   0.040   0.040    120  1266    0    0       46920          0         33        391  GET /contestant/clarifications HTTP/2
  372     3.257  0.0088  0.0095   0.000   0.044   0.044    371     1    0    0      144319          0        387        389  GET /signup HTTP/2
  728     1.482  0.0020  0.0054   0.000   0.068   0.068    728     0    0    0      283192        389        389        389  GET / HTTP/2
  244     0.868  0.0036  0.0041   0.000   0.025   0.025    244     0    0    0       94916        389        389        389  get /registration?
   53     0.248  0.0047  0.0283   0.000   0.208   0.208      1    52    0    0         386          0          7        386  GET /admin/clarifications HTTP/2
    2     0.185  0.0925  0.0015   0.091   0.094   0.094      2     0    0    0          56         28         28         28  POST /initialize HTTP/2
    5     0.011  0.0022  0.0024   0.001   0.007   0.007      3     0    2    0         274          0         54        137  POST /api/login HTTP/2

Top 50 Sort By Mean
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1962  3237.636  1.6502  2.1038   0.002  14.201  14.641   1962     0    0    0       66657          5         33         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1387  1317.396  0.9498  1.3395   0.001   9.331   9.345   1385     0    2    0     4564658          0       3291       6277  GET /api/contestant/clarifications HTTP/2
  281   110.961  0.3949  0.3407   0.001   3.502   3.502    279     0    2    0      122334         61        435        496  put /api/admin/clarifications/:id
  292   105.842  0.3625  0.3884   0.001   4.094   4.094    290     0    2    0      112051         61        383        433  POST /api/contestant/clarifications HTTP/2
  730   209.580  0.2871  0.4726   0.002   6.106   6.106    728     0    2    0      202047         61        276        311  get /api/contestant/benchmark_jobs/:id
 6511  1576.497  0.2421  0.2636   0.000   1.944   2.006   6499     0   12    0   393995319         61      60512      77984  GET /api/contestant/dashboard HTTP/2
   54    13.066  0.2420  0.9786   0.001   5.992   5.992     52     0    2    0      259121          0       4798     121835  GET /api/admin/clarifications HTTP/2
 2939   656.332  0.2233  0.3906   0.000   3.968   4.267   2939     0    0    0     1320920        123        449        569  GET /api/session HTTP/2
 6452  1194.700  0.1852  0.3571   0.000   5.019   6.592   6440     0   12    0     7500786          0       1162       3946  GET /api/contestant/benchmark_jobs HTTP/2
  290    27.884  0.0962  0.0894   0.001   0.528   0.528    288     0    2    0      111284         61        383        433  get /api/admin/clarifications/:id
  768    72.840  0.0948  0.1602   0.002   2.192   2.192    763     0    5    0       44241         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
    2     0.185  0.0925  0.0015   0.091   0.094   0.094      2     0    0    0          56         28         28         28  POST /initialize HTTP/2
42196  3836.645  0.0909  0.2059   0.000   3.023   6.064  42191     0    5    0         305          0          0         61  get /api/contestant/notifications?.*
  121     7.984  0.0660  0.0392   0.003   0.205   0.205    121     0    0    0       58827        444        486        511  GET /api/registration/session HTTP/2
  128     7.472  0.0584  0.0405   0.002   0.216   0.216    121     0    7    0         735          2          5         91  POST /api/registration/team HTTP/2
11680   671.452  0.0575  0.1971   0.001   2.696   3.238  11678     0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
  360    12.674  0.0352  0.0254   0.002   0.148   0.148    360     0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  244     6.035  0.0247  0.0195   0.002   0.116   0.116    242     0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
 3660    66.898  0.0183  0.0487   0.000   0.283   0.285   3660     0    0    0   157264192       2473      42968     105858  get /packs/.*
  373     5.257  0.0141  0.0163   0.000   0.140   0.140    372     0    1    0          77          0          0         77  POST /api/signup HTTP/2
  883    10.191  0.0115  0.0187   0.000   0.093   0.093    240   643    0    0       93840          0        106        391  GET /contestant HTTP/2
  372     3.257  0.0088  0.0095   0.000   0.044   0.044    371     1    0    0      144319          0        387        389  GET /signup HTTP/2
 3666    24.474  0.0067  0.0215   0.000   0.199   0.200   1100  2566    0    0     1265000          0        345       1150  GET /favicon.ico HTTP/2
   53     0.248  0.0047  0.0283   0.000   0.208   0.208      1    52    0    0         386          0          7        386  GET /admin/clarifications HTTP/2
  244     0.868  0.0036  0.0041   0.000   0.025   0.025    244     0    0    0       94916        389        389        389  get /registration?
 1386     3.336  0.0024  0.0070   0.000   0.040   0.040    120  1266    0    0       46920          0         33        391  GET /contestant/clarifications HTTP/2
    5     0.011  0.0022  0.0024   0.001   0.007   0.007      3     0    2    0         274          0         54        137  POST /api/login HTTP/2
  728     1.482  0.0020  0.0054   0.000   0.068   0.068    728     0    0    0      283192        389        389        389  GET / HTTP/2
22820    20.887  0.0009  0.0058   0.000   0.018   0.542  22820     0    0    0   510871308         22      22386      31322  GET /api/audience/dashboard HTTP/2

Top 50 Sort By Standard Deviation
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1962  3237.636  1.6502  2.1038   0.002  14.201  14.641   1962     0    0    0       66657          5         33         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1387  1317.396  0.9498  1.3395   0.001   9.331   9.345   1385     0    2    0     4564658          0       3291       6277  GET /api/contestant/clarifications HTTP/2
   54    13.066  0.2420  0.9786   0.001   5.992   5.992     52     0    2    0      259121          0       4798     121835  GET /api/admin/clarifications HTTP/2
  730   209.580  0.2871  0.4726   0.002   6.106   6.106    728     0    2    0      202047         61        276        311  get /api/contestant/benchmark_jobs/:id
 2939   656.332  0.2233  0.3906   0.000   3.968   4.267   2939     0    0    0     1320920        123        449        569  GET /api/session HTTP/2
  292   105.842  0.3625  0.3884   0.001   4.094   4.094    290     0    2    0      112051         61        383        433  POST /api/contestant/clarifications HTTP/2
 6452  1194.700  0.1852  0.3571   0.000   5.019   6.592   6440     0   12    0     7500786          0       1162       3946  GET /api/contestant/benchmark_jobs HTTP/2
  281   110.961  0.3949  0.3407   0.001   3.502   3.502    279     0    2    0      122334         61        435        496  put /api/admin/clarifications/:id
 6511  1576.497  0.2421  0.2636   0.000   1.944   2.006   6499     0   12    0   393995319         61      60512      77984  GET /api/contestant/dashboard HTTP/2
42196  3836.645  0.0909  0.2059   0.000   3.023   6.064  42191     0    5    0         305          0          0         61  get /api/contestant/notifications?.*
11680   671.452  0.0575  0.1971   0.001   2.696   3.238  11678     0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
  768    72.840  0.0948  0.1602   0.002   2.192   2.192    763     0    5    0       44241         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
  290    27.884  0.0962  0.0894   0.001   0.528   0.528    288     0    2    0      111284         61        383        433  get /api/admin/clarifications/:id
 3660    66.898  0.0183  0.0487   0.000   0.283   0.285   3660     0    0    0   157264192       2473      42968     105858  get /packs/.*
  128     7.472  0.0584  0.0405   0.002   0.216   0.216    121     0    7    0         735          2          5         91  POST /api/registration/team HTTP/2
  121     7.984  0.0660  0.0392   0.003   0.205   0.205    121     0    0    0       58827        444        486        511  GET /api/registration/session HTTP/2
   53     0.248  0.0047  0.0283   0.000   0.208   0.208      1    52    0    0         386          0          7        386  GET /admin/clarifications HTTP/2
  360    12.674  0.0352  0.0254   0.002   0.148   0.148    360     0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
 3666    24.474  0.0067  0.0215   0.000   0.199   0.200   1100  2566    0    0     1265000          0        345       1150  GET /favicon.ico HTTP/2
  244     6.035  0.0247  0.0195   0.002   0.116   0.116    242     0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  883    10.191  0.0115  0.0187   0.000   0.093   0.093    240   643    0    0       93840          0        106        391  GET /contestant HTTP/2
  373     5.257  0.0141  0.0163   0.000   0.140   0.140    372     0    1    0          77          0          0         77  POST /api/signup HTTP/2
  372     3.257  0.0088  0.0095   0.000   0.044   0.044    371     1    0    0      144319          0        387        389  GET /signup HTTP/2
 1386     3.336  0.0024  0.0070   0.000   0.040   0.040    120  1266    0    0       46920          0         33        391  GET /contestant/clarifications HTTP/2
22820    20.887  0.0009  0.0058   0.000   0.018   0.542  22820     0    0    0   510871308         22      22386      31322  GET /api/audience/dashboard HTTP/2
  728     1.482  0.0020  0.0054   0.000   0.068   0.068    728     0    0    0      283192        389        389        389  GET / HTTP/2
  244     0.868  0.0036  0.0041   0.000   0.025   0.025    244     0    0    0       94916        389        389        389  get /registration?
    5     0.011  0.0022  0.0024   0.001   0.007   0.007      3     0    2    0         274          0         54        137  POST /api/login HTTP/2
    2     0.185  0.0925  0.0015   0.091   0.094   0.094      2     0    0    0          56         28         28         28  POST /initialize HTTP/2

Top 50 Sort By Maximum(100 Percentile)
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1962  3237.636  1.6502  2.1038   0.002  14.201  14.641   1962     0    0    0       66657          5         33         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1387  1317.396  0.9498  1.3395   0.001   9.331   9.345   1385     0    2    0     4564658          0       3291       6277  GET /api/contestant/clarifications HTTP/2
 6452  1194.700  0.1852  0.3571   0.000   5.019   6.592   6440     0   12    0     7500786          0       1162       3946  GET /api/contestant/benchmark_jobs HTTP/2
  730   209.580  0.2871  0.4726   0.002   6.106   6.106    728     0    2    0      202047         61        276        311  get /api/contestant/benchmark_jobs/:id
42196  3836.645  0.0909  0.2059   0.000   3.023   6.064  42191     0    5    0         305          0          0         61  get /api/contestant/notifications?.*
   54    13.066  0.2420  0.9786   0.001   5.992   5.992     52     0    2    0      259121          0       4798     121835  GET /api/admin/clarifications HTTP/2
 2939   656.332  0.2233  0.3906   0.000   3.968   4.267   2939     0    0    0     1320920        123        449        569  GET /api/session HTTP/2
  292   105.842  0.3625  0.3884   0.001   4.094   4.094    290     0    2    0      112051         61        383        433  POST /api/contestant/clarifications HTTP/2
  281   110.961  0.3949  0.3407   0.001   3.502   3.502    279     0    2    0      122334         61        435        496  put /api/admin/clarifications/:id
11680   671.452  0.0575  0.1971   0.001   2.696   3.238  11678     0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
  768    72.840  0.0948  0.1602   0.002   2.192   2.192    763     0    5    0       44241         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 6511  1576.497  0.2421  0.2636   0.000   1.944   2.006   6499     0   12    0   393995319         61      60512      77984  GET /api/contestant/dashboard HTTP/2
22820    20.887  0.0009  0.0058   0.000   0.018   0.542  22820     0    0    0   510871308         22      22386      31322  GET /api/audience/dashboard HTTP/2
  290    27.884  0.0962  0.0894   0.001   0.528   0.528    288     0    2    0      111284         61        383        433  get /api/admin/clarifications/:id
 3660    66.898  0.0183  0.0487   0.000   0.283   0.285   3660     0    0    0   157264192       2473      42968     105858  get /packs/.*
  128     7.472  0.0584  0.0405   0.002   0.216   0.216    121     0    7    0         735          2          5         91  POST /api/registration/team HTTP/2
   53     0.248  0.0047  0.0283   0.000   0.208   0.208      1    52    0    0         386          0          7        386  GET /admin/clarifications HTTP/2
  121     7.984  0.0660  0.0392   0.003   0.205   0.205    121     0    0    0       58827        444        486        511  GET /api/registration/session HTTP/2
 3666    24.474  0.0067  0.0215   0.000   0.199   0.200   1100  2566    0    0     1265000          0        345       1150  GET /favicon.ico HTTP/2
  360    12.674  0.0352  0.0254   0.002   0.148   0.148    360     0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  373     5.257  0.0141  0.0163   0.000   0.140   0.140    372     0    1    0          77          0          0         77  POST /api/signup HTTP/2
  244     6.035  0.0247  0.0195   0.002   0.116   0.116    242     0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
    2     0.185  0.0925  0.0015   0.091   0.094   0.094      2     0    0    0          56         28         28         28  POST /initialize HTTP/2
  883    10.191  0.0115  0.0187   0.000   0.093   0.093    240   643    0    0       93840          0        106        391  GET /contestant HTTP/2
  728     1.482  0.0020  0.0054   0.000   0.068   0.068    728     0    0    0      283192        389        389        389  GET / HTTP/2
  372     3.257  0.0088  0.0095   0.000   0.044   0.044    371     1    0    0      144319          0        387        389  GET /signup HTTP/2
 1386     3.336  0.0024  0.0070   0.000   0.040   0.040    120  1266    0    0       46920          0         33        391  GET /contestant/clarifications HTTP/2
  244     0.868  0.0036  0.0041   0.000   0.025   0.025    244     0    0    0       94916        389        389        389  get /registration?
    5     0.011  0.0022  0.0024   0.001   0.007   0.007      3     0    2    0         274          0         54        137  POST /api/login HTTP/2

TOP 37 Slow Requests
 1  14.641  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 2  14.201  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 3  12.305  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 4  12.221  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 5  11.842  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 6  11.737  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 7  11.717  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 8  11.454  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 9  11.372  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
10  10.935  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
11  10.704  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
12  10.687  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
13  10.657  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
14  10.550  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
15  10.548  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
16  10.299  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
17  10.246  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
18  10.142  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
19  10.116  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
20  10.095  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
21  10.001  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
22  10.000  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
23   9.896  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
24   9.874  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
25   9.870  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
26   9.834  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
27   9.831  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
28   9.818  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
29   9.703  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
30   9.667  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
31   9.542  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
32   9.520  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
33   9.463  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
34   9.431  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
35   9.345  GET /api/contestant/clarifications HTTP/2
36   9.331  GET /api/contestant/clarifications HTTP/2
37   9.324  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
