Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
    6     0.014  0.0023  0.0020   0.001   0.006   0.006      4     0    2    0         186          0         31         93  POST /api/login HTTP/2
    2     0.205  0.1025  0.0195   0.083   0.122   0.122      2     0    0    0          92         46         46         46  POST /initialize HTTP/2

Top 50 Sort By Total
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
17460  3267.514  0.1871  0.2131   0.002   2.115   3.327  17460     0    0    0      485535          0         27        102  get /api/contestant/notifications?.*
 1885  2138.711  1.1346  1.2719   0.003   9.937  10.425   1885     0    0    0       59119          5         31         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  846   947.040  1.1194  1.2474   0.003   7.062   7.062    844     0    2    0     1338108          0       1581       2815  GET /api/contestant/clarifications HTTP/2
 3655   872.862  0.2388  0.2153   0.004   1.662   1.853   3653     0    2    0    34700726         57       9494      14628  GET /api/contestant/dashboard HTTP/2
 3602   587.740  0.1632  0.1911   0.002   1.940   2.610   3600     0    2    0     2358998          0        654       1517  GET /api/contestant/benchmark_jobs HTTP/2
 1949   375.078  0.1924  0.2398   0.000   2.179   2.270   1949     0    0    0      556445         47        285        365  GET /api/session HTTP/2
 5740   242.644  0.0423  0.0998   0.002   1.028   1.509   5738     0    2    0        7907          0          1         75  GET /api/contestant/notifications HTTP/2
  650   102.266  0.1573  0.2088   0.002   2.503   2.503    648     0    2    0      142465         57        219        266  get /api/contestant/benchmark_jobs/:id
19887   101.653  0.0051  0.0108   0.000   0.137   0.190  19887     0    0    0   211961840         22      10658      17944  GET /api/audience/dashboard HTTP/2
  222    67.604  0.3045  0.8904   0.002   9.812   9.812    220     0    2    0       79076         57        356        413  put /api/admin/clarifications/:id
  226    62.508  0.2766  0.2471   0.003   1.783   1.783    224     0    2    0       70173         57        310        358  POST /api/contestant/clarifications HTTP/2
  673    50.721  0.0754  0.1073   0.002   1.084   1.084    668     0    5    0       45264         57         67         93  POST /api/contestant/benchmark_jobs HTTP/2
 2718    39.968  0.0147  0.0268   0.000   0.173   0.185   2718     0    0    0   120340164       2473      44275     105858  get /packs/.*
 2596    29.220  0.0113  0.0206   0.000   0.152   0.171    846  1750    0    0      972900          0        374       1150  GET /favicon.ico HTTP/2
   58    15.409  0.2657  1.2404   0.001   9.339   9.339     56     0    2    0      115265          0       1987      24852  GET /api/admin/clarifications HTTP/2
  226    14.300  0.0633  0.0564   0.003   0.351   0.351    224     0    2    0       70177         57        310        358  get /api/admin/clarifications/:id
  727    11.559  0.0159  0.0218   0.000   0.127   0.127    120   607    0    0       30360          0         41        253  GET /contestant HTTP/2
  844     8.477  0.0100  0.0137   0.000   0.092   0.092     60   784    0    0       15180          0         17        253  GET /contestant/clarifications HTTP/2
  199     7.230  0.0363  0.0237   0.001   0.135   0.135    198     0    1    0          66          0          0         66  POST /api/signup HTTP/2
  124     6.207  0.0501  0.0327   0.002   0.168   0.168    122     0    2    0         131          0          1         77  POST /api/registration/contestant HTTP/2
  198     5.751  0.0290  0.0257   0.000   0.113   0.113    197     1    0    0       49841          0        251        253  GET /signup HTTP/2
   74     4.186  0.0566  0.0312   0.002   0.205   0.205     61     0   13    0        2148         22         29         74  POST /api/registration/team HTTP/2
   61     3.995  0.0655  0.0226   0.004   0.115   0.115     61     0    0    0       16960        248        278        300  GET /api/registration/session HTTP/2
  124     3.432  0.0277  0.0187   0.000   0.114   0.114    124     0    0    0       31372        253        253        253  get /registration?
  648     2.986  0.0046  0.0077   0.000   0.052   0.052    648     0    0    0      163944        253        253        253  GET / HTTP/2
   55     0.432  0.0079  0.0183   0.000   0.091   0.091      1    54    0    0         252          0          4        252  GET /admin/clarifications HTTP/2
    2     0.205  0.1025  0.0195   0.083   0.122   0.122      2     0    0    0          92         46         46         46  POST /initialize HTTP/2
    6     0.014  0.0023  0.0020   0.001   0.006   0.006      4     0    2    0         186          0         31         93  POST /api/login HTTP/2

Top 50 Sort By Mean
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1885  2138.711  1.1346  1.2719   0.003   9.937  10.425   1885     0    0    0       59119          5         31         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  846   947.040  1.1194  1.2474   0.003   7.062   7.062    844     0    2    0     1338108          0       1581       2815  GET /api/contestant/clarifications HTTP/2
  222    67.604  0.3045  0.8904   0.002   9.812   9.812    220     0    2    0       79076         57        356        413  put /api/admin/clarifications/:id
  226    62.508  0.2766  0.2471   0.003   1.783   1.783    224     0    2    0       70173         57        310        358  POST /api/contestant/clarifications HTTP/2
   58    15.409  0.2657  1.2404   0.001   9.339   9.339     56     0    2    0      115265          0       1987      24852  GET /api/admin/clarifications HTTP/2
 3655   872.862  0.2388  0.2153   0.004   1.662   1.853   3653     0    2    0    34700726         57       9494      14628  GET /api/contestant/dashboard HTTP/2
 1949   375.078  0.1924  0.2398   0.000   2.179   2.270   1949     0    0    0      556445         47        285        365  GET /api/session HTTP/2
17460  3267.514  0.1871  0.2131   0.002   2.115   3.327  17460     0    0    0      485535          0         27        102  get /api/contestant/notifications?.*
 3602   587.740  0.1632  0.1911   0.002   1.940   2.610   3600     0    2    0     2358998          0        654       1517  GET /api/contestant/benchmark_jobs HTTP/2
  650   102.266  0.1573  0.2088   0.002   2.503   2.503    648     0    2    0      142465         57        219        266  get /api/contestant/benchmark_jobs/:id
    2     0.205  0.1025  0.0195   0.083   0.122   0.122      2     0    0    0          92         46         46         46  POST /initialize HTTP/2
  673    50.721  0.0754  0.1073   0.002   1.084   1.084    668     0    5    0       45264         57         67         93  POST /api/contestant/benchmark_jobs HTTP/2
   61     3.995  0.0655  0.0226   0.004   0.115   0.115     61     0    0    0       16960        248        278        300  GET /api/registration/session HTTP/2
  226    14.300  0.0633  0.0564   0.003   0.351   0.351    224     0    2    0       70177         57        310        358  get /api/admin/clarifications/:id
   74     4.186  0.0566  0.0312   0.002   0.205   0.205     61     0   13    0        2148         22         29         74  POST /api/registration/team HTTP/2
  124     6.207  0.0501  0.0327   0.002   0.168   0.168    122     0    2    0         131          0          1         77  POST /api/registration/contestant HTTP/2
 5740   242.644  0.0423  0.0998   0.002   1.028   1.509   5738     0    2    0        7907          0          1         75  GET /api/contestant/notifications HTTP/2
  199     7.230  0.0363  0.0237   0.001   0.135   0.135    198     0    1    0          66          0          0         66  POST /api/signup HTTP/2
  198     5.751  0.0290  0.0257   0.000   0.113   0.113    197     1    0    0       49841          0        251        253  GET /signup HTTP/2
  124     3.432  0.0277  0.0187   0.000   0.114   0.114    124     0    0    0       31372        253        253        253  get /registration?
  727    11.559  0.0159  0.0218   0.000   0.127   0.127    120   607    0    0       30360          0         41        253  GET /contestant HTTP/2
 2718    39.968  0.0147  0.0268   0.000   0.173   0.185   2718     0    0    0   120340164       2473      44275     105858  get /packs/.*
 2596    29.220  0.0113  0.0206   0.000   0.152   0.171    846  1750    0    0      972900          0        374       1150  GET /favicon.ico HTTP/2
  844     8.477  0.0100  0.0137   0.000   0.092   0.092     60   784    0    0       15180          0         17        253  GET /contestant/clarifications HTTP/2
   55     0.432  0.0079  0.0183   0.000   0.091   0.091      1    54    0    0         252          0          4        252  GET /admin/clarifications HTTP/2
19887   101.653  0.0051  0.0108   0.000   0.137   0.190  19887     0    0    0   211961840         22      10658      17944  GET /api/audience/dashboard HTTP/2
  648     2.986  0.0046  0.0077   0.000   0.052   0.052    648     0    0    0      163944        253        253        253  GET / HTTP/2
    6     0.014  0.0023  0.0020   0.001   0.006   0.006      4     0    2    0         186          0         31         93  POST /api/login HTTP/2

Top 50 Sort By Standard Deviation
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1885  2138.711  1.1346  1.2719   0.003   9.937  10.425   1885     0    0    0       59119          5         31         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  846   947.040  1.1194  1.2474   0.003   7.062   7.062    844     0    2    0     1338108          0       1581       2815  GET /api/contestant/clarifications HTTP/2
   58    15.409  0.2657  1.2404   0.001   9.339   9.339     56     0    2    0      115265          0       1987      24852  GET /api/admin/clarifications HTTP/2
  222    67.604  0.3045  0.8904   0.002   9.812   9.812    220     0    2    0       79076         57        356        413  put /api/admin/clarifications/:id
  226    62.508  0.2766  0.2471   0.003   1.783   1.783    224     0    2    0       70173         57        310        358  POST /api/contestant/clarifications HTTP/2
 1949   375.078  0.1924  0.2398   0.000   2.179   2.270   1949     0    0    0      556445         47        285        365  GET /api/session HTTP/2
 3655   872.862  0.2388  0.2153   0.004   1.662   1.853   3653     0    2    0    34700726         57       9494      14628  GET /api/contestant/dashboard HTTP/2
17460  3267.514  0.1871  0.2131   0.002   2.115   3.327  17460     0    0    0      485535          0         27        102  get /api/contestant/notifications?.*
  650   102.266  0.1573  0.2088   0.002   2.503   2.503    648     0    2    0      142465         57        219        266  get /api/contestant/benchmark_jobs/:id
 3602   587.740  0.1632  0.1911   0.002   1.940   2.610   3600     0    2    0     2358998          0        654       1517  GET /api/contestant/benchmark_jobs HTTP/2
  673    50.721  0.0754  0.1073   0.002   1.084   1.084    668     0    5    0       45264         57         67         93  POST /api/contestant/benchmark_jobs HTTP/2
 5740   242.644  0.0423  0.0998   0.002   1.028   1.509   5738     0    2    0        7907          0          1         75  GET /api/contestant/notifications HTTP/2
  226    14.300  0.0633  0.0564   0.003   0.351   0.351    224     0    2    0       70177         57        310        358  get /api/admin/clarifications/:id
  124     6.207  0.0501  0.0327   0.002   0.168   0.168    122     0    2    0         131          0          1         77  POST /api/registration/contestant HTTP/2
   74     4.186  0.0566  0.0312   0.002   0.205   0.205     61     0   13    0        2148         22         29         74  POST /api/registration/team HTTP/2
 2718    39.968  0.0147  0.0268   0.000   0.173   0.185   2718     0    0    0   120340164       2473      44275     105858  get /packs/.*
  198     5.751  0.0290  0.0257   0.000   0.113   0.113    197     1    0    0       49841          0        251        253  GET /signup HTTP/2
  199     7.230  0.0363  0.0237   0.001   0.135   0.135    198     0    1    0          66          0          0         66  POST /api/signup HTTP/2
   61     3.995  0.0655  0.0226   0.004   0.115   0.115     61     0    0    0       16960        248        278        300  GET /api/registration/session HTTP/2
  727    11.559  0.0159  0.0218   0.000   0.127   0.127    120   607    0    0       30360          0         41        253  GET /contestant HTTP/2
 2596    29.220  0.0113  0.0206   0.000   0.152   0.171    846  1750    0    0      972900          0        374       1150  GET /favicon.ico HTTP/2
    2     0.205  0.1025  0.0195   0.083   0.122   0.122      2     0    0    0          92         46         46         46  POST /initialize HTTP/2
  124     3.432  0.0277  0.0187   0.000   0.114   0.114    124     0    0    0       31372        253        253        253  get /registration?
   55     0.432  0.0079  0.0183   0.000   0.091   0.091      1    54    0    0         252          0          4        252  GET /admin/clarifications HTTP/2
  844     8.477  0.0100  0.0137   0.000   0.092   0.092     60   784    0    0       15180          0         17        253  GET /contestant/clarifications HTTP/2
19887   101.653  0.0051  0.0108   0.000   0.137   0.190  19887     0    0    0   211961840         22      10658      17944  GET /api/audience/dashboard HTTP/2
  648     2.986  0.0046  0.0077   0.000   0.052   0.052    648     0    0    0      163944        253        253        253  GET / HTTP/2
    6     0.014  0.0023  0.0020   0.001   0.006   0.006      4     0    2    0         186          0         31         93  POST /api/login HTTP/2

Top 50 Sort By Maximum(100 Percentile)
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1885  2138.711  1.1346  1.2719   0.003   9.937  10.425   1885     0    0    0       59119          5         31         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  222    67.604  0.3045  0.8904   0.002   9.812   9.812    220     0    2    0       79076         57        356        413  put /api/admin/clarifications/:id
   58    15.409  0.2657  1.2404   0.001   9.339   9.339     56     0    2    0      115265          0       1987      24852  GET /api/admin/clarifications HTTP/2
  846   947.040  1.1194  1.2474   0.003   7.062   7.062    844     0    2    0     1338108          0       1581       2815  GET /api/contestant/clarifications HTTP/2
17460  3267.514  0.1871  0.2131   0.002   2.115   3.327  17460     0    0    0      485535          0         27        102  get /api/contestant/notifications?.*
 3602   587.740  0.1632  0.1911   0.002   1.940   2.610   3600     0    2    0     2358998          0        654       1517  GET /api/contestant/benchmark_jobs HTTP/2
  650   102.266  0.1573  0.2088   0.002   2.503   2.503    648     0    2    0      142465         57        219        266  get /api/contestant/benchmark_jobs/:id
 1949   375.078  0.1924  0.2398   0.000   2.179   2.270   1949     0    0    0      556445         47        285        365  GET /api/session HTTP/2
 3655   872.862  0.2388  0.2153   0.004   1.662   1.853   3653     0    2    0    34700726         57       9494      14628  GET /api/contestant/dashboard HTTP/2
  226    62.508  0.2766  0.2471   0.003   1.783   1.783    224     0    2    0       70173         57        310        358  POST /api/contestant/clarifications HTTP/2
 5740   242.644  0.0423  0.0998   0.002   1.028   1.509   5738     0    2    0        7907          0          1         75  GET /api/contestant/notifications HTTP/2
  673    50.721  0.0754  0.1073   0.002   1.084   1.084    668     0    5    0       45264         57         67         93  POST /api/contestant/benchmark_jobs HTTP/2
  226    14.300  0.0633  0.0564   0.003   0.351   0.351    224     0    2    0       70177         57        310        358  get /api/admin/clarifications/:id
   74     4.186  0.0566  0.0312   0.002   0.205   0.205     61     0   13    0        2148         22         29         74  POST /api/registration/team HTTP/2
19887   101.653  0.0051  0.0108   0.000   0.137   0.190  19887     0    0    0   211961840         22      10658      17944  GET /api/audience/dashboard HTTP/2
 2718    39.968  0.0147  0.0268   0.000   0.173   0.185   2718     0    0    0   120340164       2473      44275     105858  get /packs/.*
 2596    29.220  0.0113  0.0206   0.000   0.152   0.171    846  1750    0    0      972900          0        374       1150  GET /favicon.ico HTTP/2
  124     6.207  0.0501  0.0327   0.002   0.168   0.168    122     0    2    0         131          0          1         77  POST /api/registration/contestant HTTP/2
  199     7.230  0.0363  0.0237   0.001   0.135   0.135    198     0    1    0          66          0          0         66  POST /api/signup HTTP/2
  727    11.559  0.0159  0.0218   0.000   0.127   0.127    120   607    0    0       30360          0         41        253  GET /contestant HTTP/2
    2     0.205  0.1025  0.0195   0.083   0.122   0.122      2     0    0    0          92         46         46         46  POST /initialize HTTP/2
   61     3.995  0.0655  0.0226   0.004   0.115   0.115     61     0    0    0       16960        248        278        300  GET /api/registration/session HTTP/2
  124     3.432  0.0277  0.0187   0.000   0.114   0.114    124     0    0    0       31372        253        253        253  get /registration?
  198     5.751  0.0290  0.0257   0.000   0.113   0.113    197     1    0    0       49841          0        251        253  GET /signup HTTP/2
  844     8.477  0.0100  0.0137   0.000   0.092   0.092     60   784    0    0       15180          0         17        253  GET /contestant/clarifications HTTP/2
   55     0.432  0.0079  0.0183   0.000   0.091   0.091      1    54    0    0         252          0          4        252  GET /admin/clarifications HTTP/2
  648     2.986  0.0046  0.0077   0.000   0.052   0.052    648     0    0    0      163944        253        253        253  GET / HTTP/2
    6     0.014  0.0023  0.0020   0.001   0.006   0.006      4     0    2    0         186          0         31         93  POST /api/login HTTP/2

TOP 37 Slow Requests
 1  10.425  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 2   9.937  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 3   9.831  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 4   9.829  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 5   9.812  PUT /api/admin/clarifications/153 HTTP/2
 6   9.760  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 7   9.701  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 8   9.536  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 9   9.478  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
10   9.339  GET /api/admin/clarifications HTTP/2
11   8.786  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
12   8.070  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
13   7.943  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
14   7.811  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
15   7.451  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
16   7.214  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
17   7.062  GET /api/contestant/clarifications HTTP/2
18   7.032  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
19   6.523  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
20   6.513  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
21   6.477  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
22   6.446  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
23   6.130  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
24   6.114  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
25   6.093  PUT /api/admin/clarifications/78 HTTP/2
26   6.080  PUT /api/admin/clarifications/53 HTTP/2
27   6.047  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
28   6.022  GET /api/contestant/clarifications HTTP/2
29   6.019  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
30   5.924  GET /api/contestant/clarifications HTTP/2
31   5.922  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
32   5.861  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
33   5.845  GET /api/contestant/clarifications HTTP/2
34   5.821  GET /api/contestant/clarifications HTTP/2
35   5.814  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
36   5.800  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
37   5.798  GET /api/contestant/clarifications HTTP/2
