Top 50 Sort By Count
Count     Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
   24     0.140  0.0058  0.0056  0.000  0.023  0.023     24     0    0    0        9336        389        389        389  get /registration?
    6     0.004  0.0007  0.0007  0.000  0.002  0.002      4     0    2    0         274          0         45        137  POST /api/login HTTP/2

Top 50 Sort By Mean
Count     Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  102    59.186  0.5803  0.9083  0.001  3.579  3.579    100     0    2    0      158898          0       1557       3141  GET /api/contestant/clarifications HTTP/2
 1596   581.121  0.3641  0.1905  0.001  0.665  0.666   1596     0    0    0       34450          5         21         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
   50    11.192  0.2238  0.7709  0.001  5.314  5.314     48     0    2    0       21075         61        421        474  put /api/admin/clarifications/:id
  103    21.700  0.2107  1.0700  0.000  8.571  8.571    101     0    2    0      331337          0       3216      20947  GET /api/admin/clarifications HTTP/2
  858   167.234  0.1949  0.2590  0.001  1.645  1.645    856     0    2    0    14492129         61      16890      25122  GET /api/contestant/dashboard HTTP/2
 2978   572.663  0.1923  0.2492  0.001  1.941  2.525   2978     0    0    0       34173          0         11         73  get /api/contestant/notifications?.*
11606  1821.391  0.1569  0.1799  0.002  1.560  1.990  11606     0    0    0   249308292          2      21480      25122  GET /api/audience/dashboard HTTP/2
  849   125.115  0.1474  0.2245  0.001  2.261  2.261    847     0    2    0     5423965          0       6388      15168  GET /api/contestant/benchmark_jobs HTTP/2
   50     7.335  0.1467  0.1928  0.000  0.950  0.950     48     0    2    0       18636         61        372        412  POST /api/contestant/clarifications HTTP/2
  640    57.076  0.0892  0.2044  0.000  2.390  2.390    640     0    0    0      219974         34        343        471  GET /api/session HTTP/2
    2     0.176  0.0880  0.0050  0.083  0.093  0.093      2     0    0    0          56         28         28         28  POST /initialize HTTP/2
  358    24.871  0.0695  0.1486  0.000  1.202  1.202    356     0    2    0       97881         61        273        311  get /api/contestant/benchmark_jobs/:id
   50     2.950  0.0590  0.1376  0.000  0.780  0.780     48     0    2    0       18642         61        372        412  get /api/admin/clarifications/:id
   22     1.142  0.0519  0.0477  0.001  0.184  0.184     11     0   11    0         783          2         35         91  POST /api/registration/team HTTP/2
   11     0.545  0.0495  0.0532  0.002  0.168  0.168     11     0    0    0        5312        468        482        499  GET /api/registration/session HTTP/2
  362    12.672  0.0350  0.0413  0.000  0.310  0.310    357     0    5    0       20839         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
   24     0.563  0.0235  0.0154  0.001  0.059  0.059     22     0    2    0         152          0          6         97  POST /api/registration/contestant HTTP/2
   47     0.962  0.0205  0.0194  0.000  0.124  0.124     46     0    1    0          77          0          1         77  POST /api/signup HTTP/2
 2984    32.468  0.0109  0.0137  0.000  0.118  0.127   1238  1746    0    0   296431657          0      99340     492294  get /packs/.*
   46     0.442  0.0096  0.0106  0.000  0.046  0.046     45     1    0    0       17505          0        380        389  GET /signup HTTP/2
  357     3.111  0.0087  0.0108  0.000  0.073  0.073    357     0    0    0      138873        389        389        389  GET / HTTP/2
  995     8.042  0.0081  0.0096  0.000  0.057  0.057    403   592    0    0      463450          0        465       1150  GET /favicon.ico HTTP/2
  367     2.934  0.0080  0.0094  0.000  0.067  0.067     20   347    0    0        7820          0         21        391  GET /contestant HTTP/2
 1006     7.808  0.0078  0.0132  0.000  0.156  0.156   1004     0    2    0         864          0          0         61  GET /api/contestant/notifications HTTP/2
  100     0.776  0.0078  0.0096  0.000  0.065  0.065     10    90    0    0        3910          0         39        391  GET /contestant/clarifications HTTP/2
   24     0.140  0.0058  0.0056  0.000  0.023  0.023     24     0    0    0        9336        389        389        389  get /registration?
  101     0.313  0.0031  0.0050  0.000  0.022  0.022      1   100    0    0         386          0          3        386  GET /admin/clarifications HTTP/2
    6     0.004  0.0007  0.0007  0.000  0.002  0.002      4     0    2    0         274          0         45        137  POST /api/login HTTP/2

Top 50 Sort By Standard Deviation
Count     Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  103    21.700  0.2107  1.0700  0.000  8.571  8.571    101     0    2    0      331337          0       3216      20947  GET /api/admin/clarifications HTTP/2
  102    59.186  0.5803  0.9083  0.001  3.579  3.579    100     0    2    0      158898          0       1557       3141  GET /api/contestant/clarifications HTTP/2
   50    11.192  0.2238  0.7709  0.001  5.314  5.314     48     0    2    0       21075         61        421        474  put /api/admin/clarifications/:id
  858   167.234  0.1949  0.2590  0.001  1.645  1.645    856     0    2    0    14492129         61      16890      25122  GET /api/contestant/dashboard HTTP/2
 2978   572.663  0.1923  0.2492  0.001  1.941  2.525   2978     0    0    0       34173          0         11         73  get /api/contestant/notifications?.*
  849   125.115  0.1474  0.2245  0.001  2.261  2.261    847     0    2    0     5423965          0       6388      15168  GET /api/contestant/benchmark_jobs HTTP/2
  640    57.076  0.0892  0.2044  0.000  2.390  2.390    640     0    0    0      219974         34        343        471  GET /api/session HTTP/2
   50     7.335  0.1467  0.1928  0.000  0.950  0.950     48     0    2    0       18636         61        372        412  POST /api/contestant/clarifications HTTP/2
 1596   581.121  0.3641  0.1905  0.001  0.665  0.666   1596     0    0    0       34450          5         21         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
11606  1821.391  0.1569  0.1799  0.002  1.560  1.990  11606     0    0    0   249308292          2      21480      25122  GET /api/audience/dashboard HTTP/2
  358    24.871  0.0695  0.1486  0.000  1.202  1.202    356     0    2    0       97881         61        273        311  get /api/contestant/benchmark_jobs/:id
   50     2.950  0.0590  0.1376  0.000  0.780  0.780     48     0    2    0       18642         61        372        412  get /api/admin/clarifications/:id
   11     0.545  0.0495  0.0532  0.002  0.168  0.168     11     0    0    0        5312        468        482        499  GET /api/registration/session HTTP/2
   22     1.142  0.0519  0.0477  0.001  0.184  0.184     11     0   11    0         783          2         35         91  POST /api/registration/team HTTP/2
  362    12.672  0.0350  0.0413  0.000  0.310  0.310    357     0    5    0       20839         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
   47     0.962  0.0205  0.0194  0.000  0.124  0.124     46     0    1    0          77          0          1         77  POST /api/signup HTTP/2
   24     0.563  0.0235  0.0154  0.001  0.059  0.059     22     0    2    0         152          0          6         97  POST /api/registration/contestant HTTP/2
 2984    32.468  0.0109  0.0137  0.000  0.118  0.127   1238  1746    0    0   296431657          0      99340     492294  get /packs/.*
 1006     7.808  0.0078  0.0132  0.000  0.156  0.156   1004     0    2    0         864          0          0         61  GET /api/contestant/notifications HTTP/2
  357     3.111  0.0087  0.0108  0.000  0.073  0.073    357     0    0    0      138873        389        389        389  GET / HTTP/2
   46     0.442  0.0096  0.0106  0.000  0.046  0.046     45     1    0    0       17505          0        380        389  GET /signup HTTP/2
  995     8.042  0.0081  0.0096  0.000  0.057  0.057    403   592    0    0      463450          0        465       1150  GET /favicon.ico HTTP/2
  100     0.776  0.0078  0.0096  0.000  0.065  0.065     10    90    0    0        3910          0         39        391  GET /contestant/clarifications HTTP/2
  367     2.934  0.0080  0.0094  0.000  0.067  0.067     20   347    0    0        7820          0         21        391  GET /contestant HTTP/2
   24     0.140  0.0058  0.0056  0.000  0.023  0.023     24     0    0    0        9336        389        389        389  get /registration?
    2     0.176  0.0880  0.0050  0.083  0.093  0.093      2     0    0    0          56         28         28         28  POST /initialize HTTP/2
  101     0.313  0.0031  0.0050  0.000  0.022  0.022      1   100    0    0         386          0          3        386  GET /admin/clarifications HTTP/2
    6     0.004  0.0007  0.0007  0.000  0.002  0.002      4     0    2    0         274          0         45        137  POST /api/login HTTP/2

Top 50 Sort By Maximum(100 Percentile)
Count     Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  103    21.700  0.2107  1.0700  0.000  8.571  8.571    101     0    2    0      331337          0       3216      20947  GET /api/admin/clarifications HTTP/2
   50    11.192  0.2238  0.7709  0.001  5.314  5.314     48     0    2    0       21075         61        421        474  put /api/admin/clarifications/:id
  102    59.186  0.5803  0.9083  0.001  3.579  3.579    100     0    2    0      158898          0       1557       3141  GET /api/contestant/clarifications HTTP/2
 2978   572.663  0.1923  0.2492  0.001  1.941  2.525   2978     0    0    0       34173          0         11         73  get /api/contestant/notifications?.*
  640    57.076  0.0892  0.2044  0.000  2.390  2.390    640     0    0    0      219974         34        343        471  GET /api/session HTTP/2
  849   125.115  0.1474  0.2245  0.001  2.261  2.261    847     0    2    0     5423965          0       6388      15168  GET /api/contestant/benchmark_jobs HTTP/2
11606  1821.391  0.1569  0.1799  0.002  1.560  1.990  11606     0    0    0   249308292          2      21480      25122  GET /api/audience/dashboard HTTP/2
  858   167.234  0.1949  0.2590  0.001  1.645  1.645    856     0    2    0    14492129         61      16890      25122  GET /api/contestant/dashboard HTTP/2
  358    24.871  0.0695  0.1486  0.000  1.202  1.202    356     0    2    0       97881         61        273        311  get /api/contestant/benchmark_jobs/:id
   50     7.335  0.1467  0.1928  0.000  0.950  0.950     48     0    2    0       18636         61        372        412  POST /api/contestant/clarifications HTTP/2
   50     2.950  0.0590  0.1376  0.000  0.780  0.780     48     0    2    0       18642         61        372        412  get /api/admin/clarifications/:id
 1596   581.121  0.3641  0.1905  0.001  0.665  0.666   1596     0    0    0       34450          5         21         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  362    12.672  0.0350  0.0413  0.000  0.310  0.310    357     0    5    0       20839         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
   22     1.142  0.0519  0.0477  0.001  0.184  0.184     11     0   11    0         783          2         35         91  POST /api/registration/team HTTP/2
   11     0.545  0.0495  0.0532  0.002  0.168  0.168     11     0    0    0        5312        468        482        499  GET /api/registration/session HTTP/2
 1006     7.808  0.0078  0.0132  0.000  0.156  0.156   1004     0    2    0         864          0          0         61  GET /api/contestant/notifications HTTP/2
 2984    32.468  0.0109  0.0137  0.000  0.118  0.127   1238  1746    0    0   296431657          0      99340     492294  get /packs/.*
   47     0.962  0.0205  0.0194  0.000  0.124  0.124     46     0    1    0          77          0          1         77  POST /api/signup HTTP/2
    2     0.176  0.0880  0.0050  0.083  0.093  0.093      2     0    0    0          56         28         28         28  POST /initialize HTTP/2
  357     3.111  0.0087  0.0108  0.000  0.073  0.073    357     0    0    0      138873        389        389        389  GET / HTTP/2
  367     2.934  0.0080  0.0094  0.000  0.067  0.067     20   347    0    0        7820          0         21        391  GET /contestant HTTP/2
  100     0.776  0.0078  0.0096  0.000  0.065  0.065     10    90    0    0        3910          0         39        391  GET /contestant/clarifications HTTP/2
   24     0.563  0.0235  0.0154  0.001  0.059  0.059     22     0    2    0         152          0          6         97  POST /api/registration/contestant HTTP/2
  995     8.042  0.0081  0.0096  0.000  0.057  0.057    403   592    0    0      463450          0        465       1150  GET /favicon.ico HTTP/2
   46     0.442  0.0096  0.0106  0.000  0.046  0.046     45     1    0    0       17505          0        380        389  GET /signup HTTP/2
   24     0.140  0.0058  0.0056  0.000  0.023  0.023     24     0    0    0        9336        389        389        389  get /registration?
  101     0.313  0.0031  0.0050  0.000  0.022  0.022      1   100    0    0         386          0          3        386  GET /admin/clarifications HTTP/2
    6     0.004  0.0007  0.0007  0.000  0.002  0.002      4     0    2    0         274          0         45        137  POST /api/login HTTP/2

TOP 37 Slow Requests
 1  8.571  GET /api/admin/clarifications HTTP/2
 2  6.303  GET /api/admin/clarifications HTTP/2
 3  5.314  PUT /api/admin/clarifications/35 HTTP/2
 4  3.579  GET /api/contestant/clarifications HTTP/2
 5  3.435  GET /api/contestant/clarifications HTTP/2
 6  3.027  GET /api/contestant/clarifications HTTP/2
 7  2.850  GET /api/contestant/clarifications HTTP/2
 8  2.815  GET /api/admin/clarifications HTTP/2
 9  2.724  GET /api/contestant/clarifications HTTP/2
10  2.547  GET /api/contestant/clarifications HTTP/2
11  2.525  GET /api/contestant/notifications?after=1121 HTTP/2
12  2.471  GET /api/contestant/clarifications HTTP/2
13  2.390  GET /api/session HTTP/2
14  2.286  GET /api/contestant/notifications?after=1082 HTTP/2
15  2.261  GET /api/contestant/benchmark_jobs HTTP/2
16  2.229  GET /api/contestant/clarifications HTTP/2
17  2.113  GET /api/contestant/clarifications HTTP/2
18  2.075  GET /api/contestant/clarifications HTTP/2
19  2.025  GET /api/contestant/clarifications HTTP/2
20  1.994  GET /api/contestant/benchmark_jobs HTTP/2
21  1.990  GET /api/audience/dashboard HTTP/2
22  1.972  GET /api/contestant/clarifications HTTP/2
23  1.941  GET /api/contestant/notifications?after=1097 HTTP/2
24  1.940  GET /api/contestant/clarifications HTTP/2
25  1.891  GET /api/audience/dashboard HTTP/2
26  1.858  GET /api/audience/dashboard HTTP/2
27  1.850  GET /api/contestant/clarifications HTTP/2
28  1.844  GET /api/contestant/clarifications HTTP/2
29  1.836  GET /api/audience/dashboard HTTP/2
30  1.803  GET /api/contestant/notifications?after=1133 HTTP/2
31  1.798  GET /api/contestant/clarifications HTTP/2
32  1.783  GET /api/contestant/clarifications HTTP/2
33  1.744  GET /api/audience/dashboard HTTP/2
34  1.653  GET /api/contestant/notifications?after=1074 HTTP/2
35  1.648  GET /api/audience/dashboard HTTP/2
36  1.645  GET /api/contestant/dashboard HTTP/2
37  1.640  GET /api/audience/dashboard HTTP/2
