Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
    2     0.006  0.0030  0.0000   0.003   0.003   0.003      0     0    2    0         128         61         64         67  put /api/admin/clarifications/:id
    2     0.005  0.0025  0.0015   0.001   0.004   0.004      0     0    2    0         128         61         64         67  get /api/admin/clarifications/:id
    4     0.004  0.0010  0.0000   0.001   0.001   0.001      2     0    2    0         274          0         68        137  POST /api/login HTTP/2

Top 50 Sort By Mean
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  562  2507.661  4.4620  3.7070   0.017  14.900  14.900    562     0    0    0       12187          5         21         79  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  190   206.140  1.0849  0.0473   0.982   1.166   1.166    190     0    0    0       48070        253        253        253  GET /contestant/clarifications HTTP/2
  136   116.847  0.8592  0.6216   0.004   4.486   4.486    134     0    2    0       48187         61        354        429  POST /api/contestant/clarifications HTTP/2
  133   105.688  0.7946  1.1059   0.002   8.682   8.682    128     0    5    0        7791         55         58        127  POST /api/contestant/benchmark_jobs HTTP/2
  768   558.928  0.7278  0.3745   0.003   1.966   1.966    766     0    2    0    29424572         61      38313      43932  GET /api/contestant/dashboard HTTP/2
  822   584.984  0.7117  0.6213   0.003   6.282   6.282    820     0    2    0       73743          0         89        358  GET /api/contestant/benchmark_jobs HTTP/2
  136    96.731  0.7113  0.4360   0.004   2.815   2.815    134     0    2    0         122          0          0         61  GET /api/contestant/clarifications HTTP/2
  517   309.835  0.5993  0.2743   0.005   1.093   1.093    506    11    0    0      128018          0        247        253  GET /contestant HTTP/2
   18    10.010  0.5561  0.5825   0.003   2.651   2.651     16     0    2    0        4367         61        242        303  get /api/contestant/benchmark_jobs/:id
  160    88.237  0.5515  0.4497   0.060   4.023   4.023    160     0    0    0           0          0          0          0  get /api/contestant/notifications?.*
11097  5071.515  0.4570  0.5186   0.003   4.939   9.069  11095     0    2    0         976          0          0         61  GET /api/contestant/notifications HTTP/2
 1723   550.761  0.3197  0.5236   0.000   8.780   8.875   1723     0    0    0      291596         34        169        489  GET /api/session HTTP/2
  254    54.981  0.2165  0.1598   0.003   0.684   0.684    254     0    0    0      123941        425        487        521  GET /api/registration/session HTTP/2
 2958   639.099  0.2161  0.2835   0.000   1.105   1.106   2958     0    0    0   113917469       2473      38511     105858  get /packs/.*
   16     3.152  0.1970  0.1951   0.000   0.543   0.543     16     0    0    0        4048        253        253        253  GET / HTTP/2
   20     3.740  0.1870  0.3761   0.001   1.718   1.718     18     0    2    0         128          0          6         67  GET /api/admin/clarifications HTTP/2
 1865   345.231  0.1851  0.2057   0.000   0.717   0.726    771  1094    0    0      886650          0        475       1150  GET /favicon.ico HTTP/2
  255    38.067  0.1493  0.1415   0.003   0.817   0.817    254     0    1    0         725          2          2         91  POST /api/registration/team HTTP/2
    2     0.178  0.0890  0.0000   0.089   0.089   0.089      2     0    0    0          56         28         28         28  POST /initialize HTTP/2
  396    33.823  0.0854  0.0750   0.002   0.625   0.625    394     0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
   76     5.574  0.0733  0.1555   0.000   1.179   1.179     76     0    0    0     3131172        149      41199      46976  GET /api/audience/dashboard HTTP/2
  683    49.069  0.0718  0.0901   0.001   0.904   0.904    682     0    1    0          77          0          0         77  POST /api/signup HTTP/2
  765    51.085  0.0668  0.0756   0.000   0.433   0.433    764     1    0    0      193292          0        252        253  GET /signup HTTP/2
   19     1.215  0.0639  0.0816   0.000   0.329   0.329      1    18    0    0         252          0         13        252  GET /admin/clarifications HTTP/2
  418    18.962  0.0454  0.0490   0.000   0.249   0.249    418     0    0    0      105754        253        253        253  get /registration?
    2     0.006  0.0030  0.0000   0.003   0.003   0.003      0     0    2    0         128         61         64         67  put /api/admin/clarifications/:id
    2     0.005  0.0025  0.0015   0.001   0.004   0.004      0     0    2    0         128         61         64         67  get /api/admin/clarifications/:id
    4     0.004  0.0010  0.0000   0.001   0.001   0.001      2     0    2    0         274          0         68        137  POST /api/login HTTP/2

Top 50 Sort By Standard Deviation
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  562  2507.661  4.4620  3.7070   0.017  14.900  14.900    562     0    0    0       12187          5         21         79  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  133   105.688  0.7946  1.1059   0.002   8.682   8.682    128     0    5    0        7791         55         58        127  POST /api/contestant/benchmark_jobs HTTP/2
  136   116.847  0.8592  0.6216   0.004   4.486   4.486    134     0    2    0       48187         61        354        429  POST /api/contestant/clarifications HTTP/2
  822   584.984  0.7117  0.6213   0.003   6.282   6.282    820     0    2    0       73743          0         89        358  GET /api/contestant/benchmark_jobs HTTP/2
   18    10.010  0.5561  0.5825   0.003   2.651   2.651     16     0    2    0        4367         61        242        303  get /api/contestant/benchmark_jobs/:id
 1723   550.761  0.3197  0.5236   0.000   8.780   8.875   1723     0    0    0      291596         34        169        489  GET /api/session HTTP/2
11097  5071.515  0.4570  0.5186   0.003   4.939   9.069  11095     0    2    0         976          0          0         61  GET /api/contestant/notifications HTTP/2
  160    88.237  0.5515  0.4497   0.060   4.023   4.023    160     0    0    0           0          0          0          0  get /api/contestant/notifications?.*
  136    96.731  0.7113  0.4360   0.004   2.815   2.815    134     0    2    0         122          0          0         61  GET /api/contestant/clarifications HTTP/2
   20     3.740  0.1870  0.3761   0.001   1.718   1.718     18     0    2    0         128          0          6         67  GET /api/admin/clarifications HTTP/2
  768   558.928  0.7278  0.3745   0.003   1.966   1.966    766     0    2    0    29424572         61      38313      43932  GET /api/contestant/dashboard HTTP/2
 2958   639.099  0.2161  0.2835   0.000   1.105   1.106   2958     0    0    0   113917469       2473      38511     105858  get /packs/.*
  517   309.835  0.5993  0.2743   0.005   1.093   1.093    506    11    0    0      128018          0        247        253  GET /contestant HTTP/2
 1865   345.231  0.1851  0.2057   0.000   0.717   0.726    771  1094    0    0      886650          0        475       1150  GET /favicon.ico HTTP/2
   16     3.152  0.1970  0.1951   0.000   0.543   0.543     16     0    0    0        4048        253        253        253  GET / HTTP/2
  254    54.981  0.2165  0.1598   0.003   0.684   0.684    254     0    0    0      123941        425        487        521  GET /api/registration/session HTTP/2
   76     5.574  0.0733  0.1555   0.000   1.179   1.179     76     0    0    0     3131172        149      41199      46976  GET /api/audience/dashboard HTTP/2
  255    38.067  0.1493  0.1415   0.003   0.817   0.817    254     0    1    0         725          2          2         91  POST /api/registration/team HTTP/2
  683    49.069  0.0718  0.0901   0.001   0.904   0.904    682     0    1    0          77          0          0         77  POST /api/signup HTTP/2
   19     1.215  0.0639  0.0816   0.000   0.329   0.329      1    18    0    0         252          0         13        252  GET /admin/clarifications HTTP/2
  765    51.085  0.0668  0.0756   0.000   0.433   0.433    764     1    0    0      193292          0        252        253  GET /signup HTTP/2
  396    33.823  0.0854  0.0750   0.002   0.625   0.625    394     0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  418    18.962  0.0454  0.0490   0.000   0.249   0.249    418     0    0    0      105754        253        253        253  get /registration?
  190   206.140  1.0849  0.0473   0.982   1.166   1.166    190     0    0    0       48070        253        253        253  GET /contestant/clarifications HTTP/2
    2     0.005  0.0025  0.0015   0.001   0.004   0.004      0     0    2    0         128         61         64         67  get /api/admin/clarifications/:id
    2     0.006  0.0030  0.0000   0.003   0.003   0.003      0     0    2    0         128         61         64         67  put /api/admin/clarifications/:id
    2     0.178  0.0890  0.0000   0.089   0.089   0.089      2     0    0    0          56         28         28         28  POST /initialize HTTP/2
    4     0.004  0.0010  0.0000   0.001   0.001   0.001      2     0    2    0         274          0         68        137  POST /api/login HTTP/2

Top 50 Sort By Maximum(100 Percentile)
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  562  2507.661  4.4620  3.7070   0.017  14.900  14.900    562     0    0    0       12187          5         21         79  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
11097  5071.515  0.4570  0.5186   0.003   4.939   9.069  11095     0    2    0         976          0          0         61  GET /api/contestant/notifications HTTP/2
 1723   550.761  0.3197  0.5236   0.000   8.780   8.875   1723     0    0    0      291596         34        169        489  GET /api/session HTTP/2
  133   105.688  0.7946  1.1059   0.002   8.682   8.682    128     0    5    0        7791         55         58        127  POST /api/contestant/benchmark_jobs HTTP/2
  822   584.984  0.7117  0.6213   0.003   6.282   6.282    820     0    2    0       73743          0         89        358  GET /api/contestant/benchmark_jobs HTTP/2
  136   116.847  0.8592  0.6216   0.004   4.486   4.486    134     0    2    0       48187         61        354        429  POST /api/contestant/clarifications HTTP/2
  160    88.237  0.5515  0.4497   0.060   4.023   4.023    160     0    0    0           0          0          0          0  get /api/contestant/notifications?.*
  136    96.731  0.7113  0.4360   0.004   2.815   2.815    134     0    2    0         122          0          0         61  GET /api/contestant/clarifications HTTP/2
   18    10.010  0.5561  0.5825   0.003   2.651   2.651     16     0    2    0        4367         61        242        303  get /api/contestant/benchmark_jobs/:id
  768   558.928  0.7278  0.3745   0.003   1.966   1.966    766     0    2    0    29424572         61      38313      43932  GET /api/contestant/dashboard HTTP/2
   20     3.740  0.1870  0.3761   0.001   1.718   1.718     18     0    2    0         128          0          6         67  GET /api/admin/clarifications HTTP/2
   76     5.574  0.0733  0.1555   0.000   1.179   1.179     76     0    0    0     3131172        149      41199      46976  GET /api/audience/dashboard HTTP/2
  190   206.140  1.0849  0.0473   0.982   1.166   1.166    190     0    0    0       48070        253        253        253  GET /contestant/clarifications HTTP/2
 2958   639.099  0.2161  0.2835   0.000   1.105   1.106   2958     0    0    0   113917469       2473      38511     105858  get /packs/.*
  517   309.835  0.5993  0.2743   0.005   1.093   1.093    506    11    0    0      128018          0        247        253  GET /contestant HTTP/2
  683    49.069  0.0718  0.0901   0.001   0.904   0.904    682     0    1    0          77          0          0         77  POST /api/signup HTTP/2
  255    38.067  0.1493  0.1415   0.003   0.817   0.817    254     0    1    0         725          2          2         91  POST /api/registration/team HTTP/2
 1865   345.231  0.1851  0.2057   0.000   0.717   0.726    771  1094    0    0      886650          0        475       1150  GET /favicon.ico HTTP/2
  254    54.981  0.2165  0.1598   0.003   0.684   0.684    254     0    0    0      123941        425        487        521  GET /api/registration/session HTTP/2
  396    33.823  0.0854  0.0750   0.002   0.625   0.625    394     0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
   16     3.152  0.1970  0.1951   0.000   0.543   0.543     16     0    0    0        4048        253        253        253  GET / HTTP/2
  765    51.085  0.0668  0.0756   0.000   0.433   0.433    764     1    0    0      193292          0        252        253  GET /signup HTTP/2
   19     1.215  0.0639  0.0816   0.000   0.329   0.329      1    18    0    0         252          0         13        252  GET /admin/clarifications HTTP/2
  418    18.962  0.0454  0.0490   0.000   0.249   0.249    418     0    0    0      105754        253        253        253  get /registration?
    2     0.178  0.0890  0.0000   0.089   0.089   0.089      2     0    0    0          56         28         28         28  POST /initialize HTTP/2
    2     0.005  0.0025  0.0015   0.001   0.004   0.004      0     0    2    0         128         61         64         67  get /api/admin/clarifications/:id
    2     0.006  0.0030  0.0000   0.003   0.003   0.003      0     0    2    0         128         61         64         67  put /api/admin/clarifications/:id
    4     0.004  0.0010  0.0000   0.001   0.001   0.001      2     0    2    0         274          0         68        137  POST /api/login HTTP/2

TOP 37 Slow Requests
 1  14.900  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 2  14.471  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 3  14.418  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 4  14.387  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 5  13.999  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 6  13.814  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 7  13.710  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 8  13.593  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 9  13.495  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
10  13.083  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
11  13.047  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
12  13.037  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
13  13.030  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
14  12.999  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
15  12.875  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
16  12.871  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
17  12.852  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
18  12.764  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
19  12.597  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
20  12.376  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
21  12.029  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
22  12.000  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
23  11.981  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
24  11.901  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
25  11.883  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
26  11.849  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
27  11.808  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
28  11.806  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
29  11.805  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
30  11.634  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
31  11.539  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
32  11.493  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
33  11.414  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
34  11.362  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
35  11.317  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
36  11.283  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
37  11.258  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
