Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  598   314.497  0.5259  0.8940   0.001   7.208   7.208    596    0    2    0      230219         61        384        431  POST /api/contestant/clarifications HTTP/2
26332  5876.244  0.2232  0.7949   0.000   7.682   7.690  26332    0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 6874  1929.199  0.2807  0.7763   0.000   6.700   9.558   6872    0    2    0    19204123          0       2793      12296  GET /api/contestant/benchmark_jobs HTTP/2
 2027   533.406  0.2632  0.7554   0.001   6.701   6.730   2025    0    2    0      559606         61        276        313  get /api/contestant/benchmark_jobs/:id
 4086  1024.961  0.2508  0.7014   0.000   6.700   7.091   4084    0    2    0    29578976          0       7239      15426  GET /api/contestant/clarifications HTTP/2
 7083  1218.547  0.1720  0.5802   0.000   6.701   9.558   7083    0    0    0     3552838        123        501        571  GET /api/session HTTP/2
 7597   882.302  0.1161  0.4649   0.000   6.701   9.558   7597    0    0    0   341048626       2473      44892     105858  get /packs/.*
 5969  2483.852  0.4161  0.4015   0.001   2.013   2.022   5967    0    2    0   675190336         61     113116     175556  GET /api/contestant/dashboard HTTP/2
 2023   193.811  0.0958  0.3373   0.000   4.072   7.617   2023    0    0    0      511819        253        253        253  GET / HTTP/2
   64     5.254  0.0821  0.2891   0.000   1.725   1.725     62    0    2    0     1183677          0      18494     259734  GET /api/admin/clarifications HTTP/2
 2417   172.477  0.0714  0.2840   0.000   4.220   7.615   2417    0    0    0     2779550       1150       1150       1150  GET /favicon.ico HTTP/2
28921  3213.748  0.1111  0.2260   0.000   1.739   2.018  28921    0    0    0  1551192781       9151      53635      72826  GET /api/audience/dashboard HTTP/2
  545    59.466  0.1091  0.1203   0.000   0.450   0.450    543    0    2    0      209794         61        384        431  get /api/admin/clarifications/:id
12184   195.875  0.0161  0.0502   0.000   0.381   0.480  12182    0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
  132     7.211  0.0546  0.0332   0.001   0.160   0.160    130    0    2    0         420          2          3         91  POST /api/registration/team HTTP/2
  129     6.881  0.0533  0.0318   0.005   0.218   0.218    129    0    0    0       32637        253        253        253  GET /contestant/clarifications HTTP/2
  130     3.935  0.0303  0.0233   0.001   0.085   0.085    130    0    0    0       63167        434        485        515  GET /api/registration/session HTTP/2
  393     7.441  0.0189  0.0230   0.000   0.143   0.143    393    0    0    0       99429        253        253        253  GET /signup HTTP/2
  387     7.950  0.0205  0.0211   0.000   0.143   0.143    387    0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  262     7.976  0.0304  0.0196   0.002   0.099   0.099    260    0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  258    28.427  0.1102  0.0186   0.067   0.165   0.165    258    0    0    0       65274        253        253        253  GET /contestant HTTP/2
  395     5.707  0.0144  0.0152   0.001   0.123   0.123    394    0    1    0          77          0          0         77  POST /api/signup HTTP/2
  262     2.200  0.0084  0.0103   0.000   0.052   0.052    262    0    0    0       66286        253        253        253  get /registration?
    2     0.270  0.1350  0.0030   0.132   0.138   0.138      2    0    0    0          56         28         28         28  POST /initialize HTTP/2
    6     0.008  0.0013  0.0007   0.001   0.003   0.003      4    0    2    0         274          0         45        137  POST /api/login HTTP/2
    1     0.000  0.0000  0.0000   0.000   0.000   0.000      1    0    0    0         252        252        252        252  GET /admin/clarifications HTTP/2

Top 50 Sort By Maximum(100 Percentile)
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 2074  5826.070  2.8091  2.2975   0.000  10.307  10.320   2074    0    0    0      164922          0         79         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 7597   882.302  0.1161  0.4649   0.000   6.701   9.558   7597    0    0    0   341048626       2473      44892     105858  get /packs/.*
 7083  1218.547  0.1720  0.5802   0.000   6.701   9.558   7083    0    0    0     3552838        123        501        571  GET /api/session HTTP/2
 6874  1929.199  0.2807  0.7763   0.000   6.700   9.558   6872    0    2    0    19204123          0       2793      12296  GET /api/contestant/benchmark_jobs HTTP/2
26332  5876.244  0.2232  0.7949   0.000   7.682   7.690  26332    0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 2023   193.811  0.0958  0.3373   0.000   4.072   7.617   2023    0    0    0      511819        253        253        253  GET / HTTP/2
 2417   172.477  0.0714  0.2840   0.000   4.220   7.615   2417    0    0    0     2779550       1150       1150       1150  GET /favicon.ico HTTP/2
 2110  1028.678  0.4875  0.9582   0.001   7.215   7.302   2059    0   51    0      122713         55         58        127  POST /api/contestant/benchmark_jobs HTTP/2
  598   314.497  0.5259  0.8940   0.001   7.208   7.208    596    0    2    0      230219         61        384        431  POST /api/contestant/clarifications HTTP/2
 4086  1024.961  0.2508  0.7014   0.000   6.700   7.091   4084    0    2    0    29578976          0       7239      15426  GET /api/contestant/clarifications HTTP/2
  495  1094.731  2.2116  2.1134   0.001   6.984   6.984    493    0    2    0      216585         61        437        494  put /api/admin/clarifications/:id
 2027   533.406  0.2632  0.7554   0.001   6.701   6.730   2025    0    2    0      559606         61        276        313  get /api/contestant/benchmark_jobs/:id
 5969  2483.852  0.4161  0.4015   0.001   2.013   2.022   5967    0    2    0   675190336         61     113116     175556  GET /api/contestant/dashboard HTTP/2
28921  3213.748  0.1111  0.2260   0.000   1.739   2.018  28921    0    0    0  1551192781       9151      53635      72826  GET /api/audience/dashboard HTTP/2
   64     5.254  0.0821  0.2891   0.000   1.725   1.725     62    0    2    0     1183677          0      18494     259734  GET /api/admin/clarifications HTTP/2
12184   195.875  0.0161  0.0502   0.000   0.381   0.480  12182    0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
  545    59.466  0.1091  0.1203   0.000   0.450   0.450    543    0    2    0      209794         61        384        431  get /api/admin/clarifications/:id
  129     6.881  0.0533  0.0318   0.005   0.218   0.218    129    0    0    0       32637        253        253        253  GET /contestant/clarifications HTTP/2
  258    28.427  0.1102  0.0186   0.067   0.165   0.165    258    0    0    0       65274        253        253        253  GET /contestant HTTP/2
  132     7.211  0.0546  0.0332   0.001   0.160   0.160    130    0    2    0         420          2          3         91  POST /api/registration/team HTTP/2
  393     7.441  0.0189  0.0230   0.000   0.143   0.143    393    0    0    0       99429        253        253        253  GET /signup HTTP/2
  387     7.950  0.0205  0.0211   0.000   0.143   0.143    387    0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
    2     0.270  0.1350  0.0030   0.132   0.138   0.138      2    0    0    0          56         28         28         28  POST /initialize HTTP/2
  395     5.707  0.0144  0.0152   0.001   0.123   0.123    394    0    1    0          77          0          0         77  POST /api/signup HTTP/2
  262     7.976  0.0304  0.0196   0.002   0.099   0.099    260    0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  130     3.935  0.0303  0.0233   0.001   0.085   0.085    130    0    0    0       63167        434        485        515  GET /api/registration/session HTTP/2
  262     2.200  0.0084  0.0103   0.000   0.052   0.052    262    0    0    0       66286        253        253        253  get /registration?
    6     0.008  0.0013  0.0007   0.001   0.003   0.003      4    0    2    0         274          0         45        137  POST /api/login HTTP/2
    1     0.000  0.0000  0.0000   0.000   0.000   0.000      1    0    0    0         252        252        252        252  GET /admin/clarifications HTTP/2

TOP 37 Slow Requests
 1  10.320  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 2  10.312  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 3  10.307  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 4  10.307  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 5  10.307  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 6  10.307  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 7  10.304  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 8  10.302  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 9  10.219  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
10  10.218  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
11  10.217  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
12  10.215  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
13  10.215  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
14  10.215  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
15  10.209  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
16  10.204  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
17  10.198  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
18  10.197  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
19  10.193  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
20  10.190  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
21  10.180  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
22  10.177  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
23  10.172  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
24  10.170  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
25  10.168  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
26  10.164  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
27  10.163  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
28  10.160  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
29  10.089  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
30  10.066  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
31  10.056  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
32  10.056  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
33  10.045  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
34  10.044  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
35  10.026  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
36  10.025  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
37  10.025  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
