Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 2001  2044.645  1.0218  1.2889   0.003   9.895  11.165   2001     0    0    0       68977          5         34         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  263   146.206  0.5559  1.3028   0.001   9.764   9.764    261     0    2    0      114423         61        435        501  put /api/admin/clarifications/:id
 1011   943.849  0.9336  0.9426   0.001   4.439   4.799   1009     0    2    0     4218914          0       4173       8514  GET /api/contestant/clarifications HTTP/2
   63     8.202  0.1302  0.4654   0.000   3.357   3.357     61     0    2    0      511711          0       8122     127644  GET /api/admin/clarifications HTTP/2
 3804   763.995  0.2008  0.1732   0.001   1.435   1.976   3802     0    2    0   169349619         61      44518      65224  GET /api/contestant/dashboard HTTP/2
18918  2868.061  0.1516  0.1606   0.001   1.423   1.877  18918     0    0    0      175104          0          9        100  get /api/contestant/notifications?.*
 3744   486.345  0.1299  0.1469   0.001   1.348   1.679   3742     0    2    0     8207588          0       2192       6988  GET /api/contestant/benchmark_jobs HTTP/2
  297    58.955  0.1985  0.2066   0.001   1.540   1.540    295     0    2    0      113920         61        383        434  POST /api/contestant/clarifications HTTP/2
 2251   350.775  0.1558  0.1798   0.000   1.262   1.400   2251     0    0    0      865919         34        384        498  GET /api/session HTTP/2
  751    84.026  0.1119  0.1339   0.001   1.280   1.280    749     0    2    0      207941         61        276        311  get /api/contestant/benchmark_jobs/:id
 5841   218.044  0.0373  0.0884   0.001   1.033   1.144   5839     0    2    0        4094          0          0         61  GET /api/contestant/notifications HTTP/2
  264    25.956  0.0983  0.0961   0.001   0.924   0.924    262     0    2    0      101023         61        382        434  get /api/admin/clarifications/:id
  797    44.323  0.0556  0.0811   0.002   0.751   0.751    792     0    5    0       45823         55         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 3019    33.642  0.0111  0.0221   0.000   0.172   0.172   3019     0    0    0   134437605       2473      44530     105858  get /packs/.*
   61     4.093  0.0671  0.0348   0.003   0.157   0.157     61     0    0    0       29691        459        486        524  GET /api/registration/session HTTP/2
  199     5.595  0.0281  0.0230   0.000   0.157   0.157    198     0    1    0          77          0          0         77  POST /api/signup HTTP/2
23058    57.289  0.0025  0.0078   0.000   0.115   0.155  23058     0    0    0   284655404         22      12345      22731  GET /api/audience/dashboard HTTP/2
 2999    22.877  0.0076  0.0168   0.000   0.120   0.151    947  2052    0    0     1089050          0        363       1150  GET /favicon.ico HTTP/2
  124     4.459  0.0360  0.0214   0.002   0.139   0.139    122     0    2    0         152          0          1         97  POST /api/registration/contestant HTTP/2
   74     3.370  0.0455  0.0240   0.002   0.120   0.120     61     0   13    0        1017          2         13         91  POST /api/registration/team HTTP/2
 1012     2.775  0.0027  0.0069   0.000   0.085   0.118     60   952    0    0       23460          0         23        391  GET /contestant/clarifications HTTP/2
  856     5.600  0.0065  0.0136   0.000   0.104   0.104    120   736    0    0       46920          0         54        391  GET /contestant HTTP/2
    2     0.183  0.0915  0.0085   0.083   0.100   0.100      2     0    0    0          56         28         28         28  POST /initialize HTTP/2
  198     5.561  0.0281  0.0208   0.000   0.079   0.079    197     1    0    0       76633          0        387        389  GET /signup HTTP/2
  749     2.439  0.0033  0.0072   0.000   0.078   0.078    749     0    0    0      291361        389        389        389  GET / HTTP/2
  124     1.867  0.0151  0.0109   0.000   0.075   0.075    124     0    0    0       48236        389        389        389  get /registration?
   60     0.268  0.0045  0.0115   0.000   0.053   0.053      1    59    0    0         386          0          6        386  GET /admin/clarifications HTTP/2
    6     0.005  0.0008  0.0007   0.000   0.002   0.002      4     0    2    0         274          0         45        137  POST /api/login HTTP/2

TOP 37 Slow Requests
 1  11.165  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 2  10.376  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 3   9.895  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 4   9.764  PUT /api/admin/clarifications/177 HTTP/2
 5   9.744  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 6   9.592  PUT /api/admin/clarifications/216 HTTP/2
 7   8.958  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 8   8.836  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 9   8.825  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
10   8.653  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
11   8.382  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
12   8.267  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
13   8.196  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
14   8.184  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
15   8.161  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
16   7.958  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
17   7.952  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
18   7.811  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
19   7.569  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
20   7.538  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
21   7.457  PUT /api/admin/clarifications/114 HTTP/2
22   7.377  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
23   7.243  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
24   7.113  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
25   7.079  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
26   7.064  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
27   6.895  PUT /api/admin/clarifications/94 HTTP/2
28   6.769  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
29   6.728  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
30   6.711  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
31   6.557  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
32   6.552  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
33   6.534  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
34   6.437  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
35   6.387  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
36   6.192  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
37   6.147  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
